TARİH,KURŞUNSUZ BENZİN (TL/LT),GAZ YAĞI (TL/LT),TP MOTORİN (TL/LT),MOTORİN (TL/LT),KALORİFER YAKITI (TL/KG),FUEL OIL (TL/KG),Y.K. FUEL OIL (TL/KG),TPGAZ
28 Kasım 2013,4.79,3.64,4.41,4.33,2.68,2.77,2.43,-
06 Aralık 2013,4.89,3.64,4.41,4.33,2.76,2.85,2.44,-
07 Aralık 2013,4.89,3.64,4.50,4.42,2.76,2.85,2.44,-
17 Aralık 2013,4.81,3.64,4.50,4.42,2.72,2.80,2.44,-
26 Aralık 2013,4.94,3.75,4.50,4.42,2.72,2.80,2.44,-
01 Ocak 2014,4.94,3.75,4.59,4.51,2.76,2.81,2.50,-
03 Ocak 2014,4.94,3.75,4.59,4.51,2.76,2.81,2.50,-
11 Ocak 2014,4.94,3.75,4.59,4.51,2.81,2.91,2.57,-
28 Ocak 2014,5.07,3.91,4.59,4.51,2.95,2.99,2.69,-
30 Ocak 2014,5.07,3.91,4.65,4.57,2.95,2.99,2.69,-
04 Şubat 2014,5.07,3.91,4.65,4.57,2.95,2.99,2.69,-
14 Şubat 2014,5.07,3.80,4.65,4.57,2.95,2.99,2.69,-
20 Mart 2014,5.08,3.81,4.63,4.58,2.93,3.06,2.63,-
22 Mart 2014,5.05,3.81,4.39,4.39,2.93,3.06,2.63,-
29 Mart 2014,5.06,3.81,4.37,4.37,2.93,3.06,2.63,-
05 Nisan 2014,4.97,3.70,4.29,4.29,2.93,3.06,2.63,-
12 Nisan 2014,5.00,3.70,4.28,4.28,2.85,2.98,2.57,-
23 Nisan 2014,5.06,3.70,4.35,4.35,2.85,2.98,2.57,-
30 Nisan 2014,5.03,3.70,4.32,4.32,2.85,2.98,2.57,-
01 Mayıs 2014,5.03,3.70,4.32,4.32,2.81,2.91,2.55,-
07 Mayıs 2014,4.97,3.70,4.27,4.27,2.81,2.91,2.55,-
10 Mayıs 2014,4.91,3.70,4.25,4.25,2.81,2.91,2.55,-
17 Mayıs 2014,4.95,3.70,4.27,4.27,2.81,2.91,2.55,-
23 Mayıs 2014,5.00,3.69,4.35,4.35,2.77,2.87,2.50,-
31 Mayıs 2014,5.00,3.69,4.33,4.33,2.94,2.93,2.51,-
07 Haziran 2014,5.00,3.62,4.35,4.34,2.94,2.93,2.51,-
19 Haziran 2014,5.00,3.76,4.35,4.34,2.94,2.93,2.51,-
24 Haziran 2014,5.11,3.76,4.48,4.47,2.99,2.94,2.59,-
26 Haziran 2014,5.10,3.76,4.46,4.45,2.99,2.94,2.59,-
11 Temmuz 2014,5.10,3.66,4.39,4.38,2.95,2.89,2.54,-
17 Temmuz 2014,5.02,3.66,4.39,4.38,2.95,2.89,2.54,-
01 Ağustos 2014,4.98,3.66,4.40,4.38,2.90,2.82,2.52,-
09 Ekim 2014,4.90,3.60,4.32,4.30,2.84,2.77,2.48,-
15 Ekim 2014,4.80,3.60,4.23,4.21,2.79,2.71,2.41,-
22 Ekim 2014,4.72,3.50,4.16,4.14,2.66,2.59,2.31,-
24 Ekim 2014,4.72,3.50,4.16,4.14,2.66,2.59,2.31,-
08 Kasım 2014,4.72,3.50,4.16,4.14,2.59,2.51,2.24,-
18 Kasım 2014,4.59,3.50,4.16,4.14,2.59,2.51,2.24,-
26 Kasım 2014,4.57,3.36,4.04,4.02,2.49,2.44,2.14,-
06 Aralık 2014,4.44,3.23,3.89,3.87,2.33,2.31,2.00,-
12 Aralık 2014,4.29,3.17,3.78,3.76,2.26,2.24,1.94,-
18 Aralık 2014,4.24,3.15,3.78,3.76,2.26,2.24,1.94,-
19 Aralık 2014,4.24,3.15,3.78,3.76,2.25,2.24,1.92,-
26 Aralık 2014,4.24,3.15,3.74,3.72,2.19,2.18,1.89,-
30 Aralık 2014,4.24,3.09,3.74,3.72,2.19,2.18,1.89,-
03 Ocak 2015,4.15,3.09,3.65,3.63,2.12,2.11,1.83,-
06 Ocak 2015,4.18,3.09,3.65,3.63,2.12,2.11,1.83,-
08 Ocak 2015,4.13,2.95,3.65,3.63,2.06,2.06,1.78,-
14 Ocak 2015,4.08,2.88,3.57,3.55,2.04,2.05,1.75,-
17 Ocak 2015,4.05,2.82,3.51,3.49,2.00,2.01,1.73,-
21 Ocak 2015,4.10,2.88,3.57,3.55,2.05,2.06,1.76,-
30 Ocak 2015,4.17,2.88,3.61,3.59,2.05,2.06,1.76,-
03 Şubat 2015,4.17,2.88,3.67,3.65,2.10,2.12,1.80,-
04 Şubat 2015,4.30,3.04,3.76,3.74,2.16,2.14,1.88,-
07 Şubat 2015,4.30,3.10,3.76,3.74,2.27,2.25,1.97,-
13 Şubat 2015,4.36,3.22,3.92,3.90,2.29,2.26,1.99,-
21 Şubat 2015,4.36,3.23,3.81,3.81,2.27,2.43,2.10,-
03 Mart 2015,4.48,3.23,3.81,3.81,2.23,2.39,2.06,-
04 Mart 2015,4.48,3.23,3.86,3.86,2.23,2.39,2.06,-
14 Mart 2015,4.48,3.23,3.86,3.86,2.25,2.37,2.11,-
18 Mart 2015,4.48,3.16,3.75,3.75,2.20,2.32,2.07,-
27 Mart 2015,4.45,3.16,3.75,3.75,2.20,2.32,2.07,-
28 Mart 2015,4.45,3.16,3.75,3.75,2.27,2.35,2.14,-
01 Nisan 2015,4.49,3.28,3.75,3.75,2.21,2.29,2.09,-
04 Nisan 2015,4.42,3.16,3.79,3.79,2.21,2.29,2.09,-
21 Nisan 2015,4.60,3.33,3.93,3.93,2.36,2.42,2.23,-
29 Nisan 2015,4.71,3.39,4.07,4.05,2.36,2.42,2.23,-
01 Mayıs 2015,4.71,3.39,4.07,4.05,2.43,2.45,2.25,-
12 Mayıs 2015,4.71,3.45,4.07,4.05,2.50,2.49,2.28,-
15 Mayıs 2015,4.71,3.45,4.07,4.05,2.50,2.49,2.28,-
22 Mayıs 2015,4.65,3.28,4.07,4.05,2.40,2.34,2.14,-
27 Mayıs 2015,4.66,3.32,4.03,4.01,2.45,2.38,2.20,-
16 Haziran 2015,4.88,3.41,4.03,4.01,2.47,2.44,2.27,-
24 Haziran 2015,4.76,3.41,4.03,4.01,2.47,2.44,2.27,-
30 Haziran 2015,4.76,3.33,4.04,4.02,2.47,2.44,2.27,-
08 Temmuz 2015,4.76,3.33,4.04,4.02,2.33,2.31,2.13,-
09 Temmuz 2015,4.76,3.16,3.87,3.85,2.28,2.26,2.07,-
14 Temmuz 2015,4.77,3.16,3.88,3.86,2.33,2.31,2.12,-
21 Temmuz 2015,4.65,3.16,3.88,3.86,2.25,2.25,2.06,-
31 Temmuz 2015,4.65,3.16,3.88,3.86,2.29,2.28,2.09,-
08 Ağustos 2015,4.56,3.10,3.80,3.78,2.22,2.22,2.01,-
22 Ağustos 2015,4.56,3.20,3.86,3.84,2.20,2.17,1.99,-
26 Ağustos 2015,4.41,3.13,3.86,3.84,2.12,2.10,1.90,-
27 Ağustos 2015,4.41,3.13,3.77,3.75,2.10,2.06,1.90,-
29 Ağustos 2015,4.41,3.13,3.77,3.75,2.10,2.06,1.90,-
01 Eylül 2015,4.49,3.13,3.91,3.89,2.24,2.19,2.03,-
10 Eylül 2015,4.55,3.24,3.91,3.89,2.24,2.19,2.03,-
18 Eylül 2015,4.50,3.29,3.94,3.92,2.27,2.21,2.06,-
30 Eylül 2015,4.51,3.24,3.94,3.92,2.21,2.15,2.00,-
10 Ekim 2015,4.51,3.24,3.94,3.92,2.30,2.27,2.08,-
16 Ekim 2015,4.42,3.24,3.82,3.80,2.21,2.21,2.03,-
17 Ekim 2015,4.37,3.24,3.82,3.80,2.15,2.15,1.97,-
21 Ekim 2015,4.37,3.13,3.82,3.80,2.15,2.14,1.95,-
22 Ekim 2015,4.37,3.13,3.82,3.80,2.17,2.17,1.96,-
05 Kasım 2015,4.37,3.13,3.79,3.77,2.16,2.15,1.96,-
18 Kasım 2015,4.29,3.01,3.79,3.77,2.05,2.07,1.81,-
26 Kasım 2015,4.41,3.07,3.73,3.71,2.09,2.09,1.86,-
05 Aralık 2015,4.41,3.00,3.66,3.64,2.02,2.06,1.79,-
08 Aralık 2015,4.33,3.00,3.66,3.64,2.02,2.05,1.77,-
11 Aralık 2015,4.29,2.94,3.59,3.57,1.96,2.00,1.72,-
15 Aralık 2015,4.29,2.89,3.54,3.52,1.96,2.00,1.72,-
17 Aralık 2015,4.29,2.89,3.54,3.52,1.94,2.01,1.74,-
23 Aralık 2015,4.29,2.89,3.54,3.52,1.86,1.91,1.66,-
06 Ocak 2016,4.29,2.85,3.54,3.52,1.90,1.94,1.70,-
14 Ocak 2016,4.22,2.78,3.46,3.44,1.81,1.86,1.63,-
20 Ocak 2016,4.22,2.74,3.41,3.39,1.76,1.82,1.61,-
21 Ocak 2016,4.22,2.69,3.41,3.39,1.76,1.82,1.61,-
23 Ocak 2016,4.22,2.67,3.35,3.33,1.76,1.85,1.64,-
26 Ocak 2016,4.22,2.73,3.41,3.39,1.82,1.91,1.69,-
02 Şubat 2016,4.22,2.81,3.48,3.46,1.87,1.95,1.75,-
06 Şubat 2016,4.15,2.81,3.47,3.45,1.87,1.95,1.75,-
11 Şubat 2016,4.02,2.81,3.47,3.45,1.80,1.88,1.68,-
13 Şubat 2016,4.02,2.68,3.40,3.38,1.77,1.85,1.63,-
16 Şubat 2016,4.02,2.76,3.47,3.45,1.83,1.89,1.68,-
18 Şubat 2016,4.06,2.76,3.47,3.45,1.83,1.89,1.68,-
19 Şubat 2016,4.10,2.76,3.47,3.45,1.83,1.89,1.68,-
24 Şubat 2016,4.10,2.76,3.47,3.45,1.83,1.89,1.68,-
01 Mart 2016,4.14,2.76,3.47,3.45,1.85,1.90,1.70,-
09 Mart 2016,4.14,2.83,3.54,3.52,1.92,1.95,1.75,-
12 Mart 2016,4.25,2.89,3.62,3.60,1.92,1.96,1.76,-
22 Mart 2016,4.33,2.89,3.62,3.60,1.90,1.94,1.73,2.00
24 Mart 2016,4.33,2.92,3.62,3.60,1.91,1.95,1.75,2.00
29 Mart 2016,4.33,2.88,3.62,3.60,1.88,1.92,1.72,2.00
31 Mart 2016,4.33,2.88,3.54,3.52,1.88,1.92,1.72,2.00
07 Nisan 2016,4.33,2.75,3.54,3.52,1.77,1.84,1.66,2.00
12 Nisan 2016,4.37,2.88,3.59,3.57,1.87,1.94,1.76,2.00
20 Nisan 2016,4.36,2.88,3.65,3.63,1.88,1.95,1.77,2.00
26 Nisan 2016,4.36,2.92,3.65,3.63,1.94,1.98,1.80,2.00
27 Nisan 2016,4.42,2.92,3.72,3.70,1.94,1.98,1.80,2.00
03 Mayıs 2016,4.42,2.96,3.72,3.70,1.99,1.98,1.84,2.00
07 Mayıs 2016,4.42,2.96,3.72,3.70,1.99,1.98,1.84,2.00
14 Mayıs 2016,4.42,2.96,3.83,3.81,2.12,2.06,1.97,2.00
21 Mayıs 2016,4.58,3.14,3.90,3.88,2.18,2.06,1.97,2.00
08 Haziran 2016,4.58,3.17,3.90,3.88,2.24,2.10,2.00,2.00
14 Haziran 2016,4.49,3.17,3.90,3.88,2.25,2.10,2.00,2.00
21 Haziran 2016,4.49,3.12,3.90,3.88,2.22,2.10,1.97,2.00
22 Haziran 2016,4.49,3.12,3.90,3.88,2.25,2.10,2.00,2.00
29 Haziran 2016,4.46,3.12,3.90,3.88,2.25,2.10,2.00,2.00
02 Temmuz 2016,4.46,3.12,3.90,3.88,2.28,2.15,2.04,2.00
13 Temmuz 2016,4.33,3.05,3.82,3.80,2.23,2.15,2.01,2.00
26 Temmuz 2016,4.39,3.07,3.82,3.80,2.27,2.19,2.09,2.00
30 Temmuz 2016,4.34,3.03,3.73,3.71,2.22,2.18,2.03,2.00
03 Ağustos 2016,4.34,2.96,3.73,3.71,2.12,2.12,1.95,2.00
04 Ağustos 2016,4.34,2.96,3.68,3.66,2.11,2.10,1.93,2.00
11 Ağustos 2016,4.39,3.03,3.72,3.70,2.16,2.15,1.97,2.00
13 Ağustos 2016,4.39,3.03,3.80,3.78,2.16,2.15,1.97,2.00
17 Ağustos 2016,4.39,3.03,3.80,3.78,2.25,2.22,2.04,2.00
18 Ağustos 2016,4.39,3.11,3.87,3.85,2.25,2.22,2.04,2.00
20 Ağustos 2016,4.47,3.11,3.87,3.85,2.30,2.26,2.09,2.00
08 Eylül 2016,4.66,3.35,4.04,4.02,2.26,2.24,2.07,2.00
21 Eylül 2016,4.72,3.33,4.11,4.09,2.26,2.24,2.07,2.00
05 Ekim 2016,4.72,3.45,4.11,4.09,2.37,2.35,2.11,2.00
06 Ekim 2016,4.87,3.45,4.23,4.21,2.42,2.39,2.14,2.00
08 Ekim 2016,4.87,3.53,4.23,4.21,2.48,2.45,2.18,2.00
12 Ekim 2016,4.87,3.53,4.30,4.28,2.51,2.48,2.23,2.00
02 Kasım 2016,4.87,3.53,4.30,4.28,2.42,2.39,2.19,2.00
08 Kasım 2016,4.79,3.46,4.16,4.14,2.39,2.36,2.17,2.00
19 Kasım 2016,4.79,3.59,4.25,4.23,2.39,2.36,2.17,2.00
23 Kasım 2016,4.95,3.72,4.35,4.33,2.61,2.58,2.37,2.00
03 Aralık 2016,4.95,3.72,4.35,4.33,2.63,2.68,2.49,2.00
07 Aralık 2016,5.10,3.89,4.52,4.50,2.76,2.68,2.55,2.00
10 Aralık 2016,5.10,3.89,4.52,4.50,2.64,2.58,2.44,2.00
14 Aralık 2016,5.10,3.89,4.52,4.50,2.82,2.71,2.60,2.00
23 Aralık 2016,5.20,3.89,4.52,4.50,2.82,2.71,2.60,2.00
01 Ocak 2017,5.20,3.89,4.65,4.63,2.80,2.71,2.60,2.00
11 Ocak 2017,5.30,4.05,4.65,4.63,3.04,3.00,2.78,3.00
14 Ocak 2017,5.45,4.28,4.80,4.78,3.09,3.02,2.85,3.00
28 Ocak 2017,5.45,4.19,4.74,4.72,3.08,2.98,2.85,3.00
02 Şubat 2017,5.45,4.19,4.74,4.72,3.02,2.92,2.76,3.00
14 Şubat 2017,5.39,4.19,4.74,4.72,3.02,2.92,2.76,3.00
18 Şubat 2017,5.39,4.19,4.74,4.72,2.91,2.80,2.73,3.00
02 Mart 2017,5.27,4.08,4.67,4.65,2.91,2.80,2.73,3.00
17 Mart 2017,5.19,4.03,4.60,4.58,2.75,2.66,2.57,3.00
01 Nisan 2017,5.19,4.04,4.52,4.50,2.75,2.65,2.54,3.00
05 Nisan 2017,5.32,4.04,4.61,4.59,2.75,2.65,2.54,2.00
08 Nisan 2017,5.32,4.04,4.73,4.71,2.86,2.66,2.52,2.00
25 Nisan 2017,5.41,4.17,4.73,4.71,2.73,2.53,2.42,2.00
26 Nisan 2017,5.27,3.98,4.73,4.71,2.73,2.53,2.42,2.00
03 Mayıs 2017,5.18,3.98,4.60,4.58,2.73,2.53,2.42,2.00
04 Mayıs 2017,5.18,3.98,4.60,4.58,2.73,2.53,2.42,2.00
17 Mayıs 2017,5.12,3.64,4.49,4.47,2.67,2.40,2.31,2.00
24 Mayıs 2017,5.25,3.80,4.65,4.63,2.67,2.40,2.31,2.00
03 Haziran 2017,5.14,3.67,4.52,4.50,2.62,2.37,2.26,2.00
09 Haziran 2017,5.14,3.56,4.53,4.51,2.55,2.32,2.20,2.00
10 Haziran 2017,5.14,3.56,4.45,4.43,2.55,2.32,2.20,2.00
17 Haziran 2017,5.00,3.56,4.45,4.43,2.48,2.23,2.16,2.00
05 Temmuz 2017,5.13,3.69,4.45,4.43,2.58,2.32,2.26,2.00
12 Temmuz 2017,5.13,3.69,4.55,4.53,2.54,2.26,2.22,2.00
02 Ağustos 2017,5.23,3.79,4.67,4.65,2.62,2.32,2.28,3.00
08 Eylül 2017,5.32,3.84,4.74,4.72,2.68,2.36,2.31,3.00
14 Ekim 2017,5.32,3.99,4.87,4.85,2.81,2.47,2.40,3.00
26 Ekim 2017,5.42,3.99,4.87,4.85,2.89,2.56,2.47,3.00
28 Ekim 2017,5.42,4.15,4.87,4.85,2.89,2.56,2.47,3.00
02 Kasım 2017,5.54,4.25,5.04,5.02,3.04,2.68,2.63,3.00
07 Kasım 2017,5.54,4.25,5.04,5.02,3.11,2.77,2.69,3.00
09 Kasım 2017,5.67,4.25,5.04,5.02,3.20,2.85,2.77,3.00
21 Kasım 2017,5.67,4.40,5.17,5.15,3.17,2.81,2.75,3.00
24 Kasım 2017,5.68,4.40,5.17,5.15,3.17,2.81,2.75,3.00
09 Aralık 2017,5.54,4.40,5.17,5.15,3.08,2.71,2.63,3.00
14 Aralık 2017,5.63,4.40,5.17,5.15,3.08,2.71,2.63,3.00
01 Ocak 2018,5.63,4.40,5.17,5.15,3.17,2.81,2.70,3.00
04 Ocak 2018,5.63,4.40,5.17,5.15,3.17,2.81,2.70,3.00
09 Ocak 2018,5.63,4.40,5.25,5.22,3.21,2.85,2.73,3.00
25 Ocak 2018,5.84,4.50,5.28,5.25,3.21,2.85,2.73,3.00
10 Şubat 2018,5.68,4.50,5.28,5.25,3.11,2.74,2.67,3.00
28 Şubat 2018,5.69,4.51,5.24,5.21,3.11,2.74,2.67,3.30
14 Mart 2018,5.69,4.40,5.24,5.21,3.11,2.74,2.67,3.23
21 Mart 2018,5.85,4.49,5.24,5.21,3.25,2.86,2.77,3.23
22 Mart 2018,5.85,4.66,5.24,5.21,3.25,2.86,2.77,3.23
14 Nisan 2018,6.13,5.08,5.73,5.70,3.47,3.00,2.89,3.34
18 Nisan 2018,6.13,5.08,5.73,5.70,3.47,3.00,2.89,3.39
08 Mayıs 2018,6.13,5.08,5.73,5.70,3.60,3.13,3.03,3.39
10 Mayıs 2018,6.10,5.08,5.67,5.64,3.60,3.13,3.03,3.39
11 Mayıs 2018,6.10,5.32,5.67,5.64,3.60,3.13,3.03,3.39
12 Mayıs 2018,6.10,5.32,5.67,5.64,3.72,3.25,3.14,3.39
15 Mayıs 2018,6.28,5.32,5.82,5.79,3.72,3.25,3.14,3.52
17 Mayıs 2018,6.28,5.32,5.82,5.79,3.88,3.39,3.31,3.52
02 Haziran 2018,6.28,5.55,5.82,5.79,4.01,3.49,3.41,3.52
06 Haziran 2018,6.28,5.55,5.82,5.79,4.01,3.49,3.41,3.52
03 Temmuz 2018,6.28,5.55,5.82,5.79,4.04,3.58,3.55,3.52
17 Temmuz 2018,6.28,5.55,5.82,5.79,4.04,3.58,3.55,3.52
18 Temmuz 2018,6.28,5.55,5.82,5.79,4.04,3.58,3.55,3.52
31 Temmuz 2018,6.28,5.76,5.82,5.79,4.04,3.58,3.55,3.52
01 Ağustos 2018,6.28,5.76,5.82,5.79,4.24,3.75,3.70,3.52
18 Ağustos 2018,6.93,6.26,6.40,6.37,4.73,4.12,4.07,3.86
28 Ağustos 2018,6.93,6.64,6.40,6.37,5.08,4.42,4.34,3.86
29 Ağustos 2018,6.93,6.81,6.40,6.37,5.23,4.54,4.47,3.86
01 Eylül 2018,6.93,7.05,6.40,6.37,5.45,4.74,4.65,3.86
04 Eylül 2018,6.94,7.05,6.40,6.37,5.45,4.74,4.65,3.86
05 Eylül 2018,6.94,7.29,6.40,6.37,5.63,4.87,4.74,3.86
06 Ekim 2018,6.99,6.91,6.42,6.39,5.56,4.89,4.72,3.86
16 Ekim 2018,7.05,6.91,6.46,6.43,5.22,4.58,4.44,3.86
19 Ekim 2018,7.04,6.57,6.46,6.43,5.02,4.40,4.29,3.86
31 Ekim 2018,7.07,6.37,6.49,6.46,5.02,4.40,4.29,3.86
03 Kasım 2018,6.89,6.37,6.49,6.46,5.02,4.40,4.29,3.86
06 Kasım 2018,6.89,6.15,6.49,6.46,4.73,4.18,4.13,3.86
07 Kasım 2018,6.92,6.15,6.51,6.48,4.73,4.18,4.13,3.86
08 Kasım 2018,6.71,5.95,6.51,6.48,4.73,4.18,4.13,3.86
09 Kasım 2018,6.71,5.95,6.51,6.48,4.66,4.09,3.98,3.86
17 Kasım 2018,6.71,5.95,6.51,6.48,4.49,3.94,3.83,3.86
05 Aralık 2018,6.22,5.31,6.10,6.06,4.01,3.53,3.42,3.59
06 Aralık 2018,6.22,5.40,6.10,6.06,4.01,3.53,3.42,3.59
20 Aralık 2018,6.22,5.40,6.10,6.06,3.77,3.28,3.15,3.59
21 Aralık 2018,6.22,5.23,6.10,6.06,3.77,3.28,3.15,3.59
22 Aralık 2018,6.22,5.10,6.10,6.06,3.77,3.28,3.15,3.59
25 Aralık 2018,5.97,5.10,5.84,5.80,3.61,3.16,3.00,3.59
01 Ocak 2019,5.98,5.10,5.84,5.80,3.61,3.16,3.00,3.59
03 Ocak 2019,5.98,4.97,5.84,5.80,3.61,3.16,3.00,3.59
22 Ocak 2019,6.31,5.47,6.22,6.18,4.06,3.59,3.45,3.64
25 Ocak 2019,6.31,5.47,6.22,6.18,4.06,3.59,3.45,3.59
26 Ocak 2019,6.31,5.32,6.22,6.18,4.06,3.59,3.45,3.59
30 Ocak 2019,6.14,5.32,6.22,6.18,4.06,3.59,3.45,3.59
05 Şubat 2019,6.19,5.32,6.22,6.18,4.06,3.59,3.45,3.73
14 Şubat 2019,6.19,5.32,6.22,6.18,4.15,3.72,3.57,3.73
27 Mart 2019,6.81,5.77,6.50,6.46,4.32,3.85,3.70,3.90
29 Mart 2019,6.81,5.57,6.50,6.46,4.32,3.85,3.70,3.90
02 Nisan 2019,6.81,5.73,6.50,6.46,4.45,3.95,3.88,3.90
03 Nisan 2019,7.00,5.73,6.50,6.46,4.45,3.95,3.88,3.90
10 Nisan 2019,7.13,5.73,6.56,6.52,4.45,3.95,3.88,3.90
12 Nisan 2019,7.13,5.88,6.56,6.52,4.45,3.95,3.88,3.90
16 Nisan 2019,7.14,5.88,6.56,6.52,4.63,4.07,3.99,3.90
17 Mayıs 2019,7.17,6.22,6.62,6.58,4.80,4.17,4.02,3.90
22 Mayıs 2019,7.17,6.22,6.62,6.58,4.93,4.38,4.09,3.90
25 Mayıs 2019,7.17,6.22,6.62,6.58,4.73,4.21,3.89,3.90
29 Mayıs 2019,7.17,5.98,6.62,6.58,4.73,4.21,3.89,3.90
30 Mayıs 2019,7.17,5.98,6.62,6.58,4.73,4.21,3.89,3.90
01 Haziran 2019,7.17,5.98,6.62,6.58,4.73,4.21,3.89,3.90
09 Temmuz 2019,7.09,5.62,6.51,6.47,4.40,4.01,3.68,3.61
10 Temmuz 2019,7.09,5.62,6.51,6.47,4.50,4.10,3.75,3.61
13 Temmuz 2019,7.09,5.84,6.51,6.47,4.50,4.10,3.75,3.61
17 Temmuz 2019,7.20,5.84,6.66,6.62,4.50,4.10,3.75,3.61
20 Ağustos 2019,6.74,5.43,6.41,6.37,4.02,3.58,3.01,3.39
22 Ağustos 2019,6.74,5.43,6.41,6.37,4.12,3.66,3.05,3.39
23 Ağustos 2019,6.74,5.65,6.41,6.37,4.21,3.76,3.12,3.39
27 Eylül 2019,7.00,5.85,6.71,6.67,4.29,3.73,3.37,3.48
01 Ekim 2019,7.00,5.85,6.71,6.67,4.18,3.64,3.12,3.48
02 Ekim 2019,7.00,5.85,6.71,6.67,4.18,3.70,3.02,3.75
03 Ekim 2019,7.00,5.85,6.64,6.60,4.19,3.74,2.92,3.75
06 Kasım 2019,7.03,5.71,6.74,6.70,4.32,3.88,2.80,3.91
08 Kasım 2019,7.03,5.71,6.74,6.70,4.28,3.89,2.66,3.91
16 Kasım 2019,7.03,5.71,6.74,6.70,4.24,3.86,2.51,3.91
28 Kasım 2019,7.03,5.71,6.68,6.64,4.31,3.93,2.57,3.91
03 Aralık 2019,7.03,5.71,6.68,6.64,4.23,3.88,2.42,3.91
04 Aralık 2019,7.03,5.71,6.68,6.64,4.30,3.98,2.50,3.91
05 Aralık 2019,7.03,5.71,6.68,6.64,4.30,3.98,2.50,3.96
08 Ocak 2020,7.19,5.94,6.74,6.70,5.08,4.92,3.25,3.96
15 Ocak 2020,7.19,5.94,6.74,6.70,4.76,4.59,3.14,3.96
16 Ocak 2020,7.24,5.80,6.79,6.75,4.80,4.64,3.19,3.96
10 Nisan 2020,5.32,3.62,5.61,5.57,3.01,2.68,2.24,3.11
11 Nisan 2020,5.32,3.62,5.54,5.50,2.94,2.66,2.15,3.11
17 Nisan 2020,5.32,3.44,5.32,5.28,2.76,2.52,1.99,3.11
18 Nisan 2020,5.47,3.57,5.43,5.39,2.76,2.52,1.99,3.16
21 Nisan 2020,5.42,3.57,5.43,5.39,2.85,2.57,1.97,3.16
22 Nisan 2020,5.35,3.57,5.43,5.39,2.73,2.49,1.81,3.16
23 Nisan 2020,5.04,3.21,5.02,4.98,2.51,2.33,1.64,3.16
25 Nisan 2020,5.33,3.21,5.02,4.98,2.56,2.33,1.72,3.16
28 Nisan 2020,5.24,3.21,5.02,4.98,2.45,2.23,1.74,3.16
06 Mayıs 2020,5.54,3.21,5.22,5.18,2.70,2.47,2.05,3.41
08 Mayıs 2020,5.75,3.41,5.42,5.38,2.85,2.58,2.21,3.41
13 Mayıs 2020,5.90,3.57,5.55,5.51,2.91,2.62,2.21,3.41
02 Haziran 2020,6.06,4.02,5.74,5.70,3.18,2.92,2.49,3.41
03 Haziran 2020,6.06,4.02,5.74,5.70,3.28,3.01,2.63,3.61
27 Haziran 2020,6.40,4.43,6.13,6.10,3.56,3.22,2.90,3.61
07 Temmuz 2020,6.38,4.52,6.16,6.13,3.72,3.37,3.01,3.93
20 Ağustos 2020,6.71,4.73,6.31,6.28,4.06,3.69,3.35,3.99
26 Ağustos 2020,6.71,4.73,6.31,6.28,4.00,3.66,3.33,3.99
29 Ağustos 2020,6.77,4.73,6.31,6.28,4.07,3.72,3.41,3.99
19 Eylül 2020,7.02,4.48,6.23,6.20,4.06,3.72,3.39,4.09
23 Eylül 2020,6.83,4.60,6.23,6.20,4.06,3.72,3.39,4.09
25 Eylül 2020,6.82,4.60,6.11,6.08,4.06,3.72,3.39,4.09
24 Ekim 2020,6.84,4.91,6.34,6.31,4.29,3.98,3.67,4.09
03 Kasım 2020,6.68,4.91,6.22,6.19,4.09,3.78,3.44,4.09
05 Kasım 2020,6.86,4.97,6.38,6.35,4.33,4.00,3.61,4.09
26 Kasım 2020,7.14,5.10,6.50,6.47,4.67,4.31,3.84,4.09
02 Aralık 2020,7.14,5.45,6.77,6.74,4.57,4.22,3.68,4.09
15 Aralık 2020,7.31,5.62,6.77,6.74,4.70,4.31,3.78,4.09
07 Ocak 2021,7.37,5.62,6.81,6.78,4.81,4.23,3.81,4.09
13 Ocak 2021,7.37,5.62,6.81,6.78,4.99,4.44,4.04,4.09
19 Ocak 2021,7.37,5.85,6.81,6.78,4.99,4.44,4.04,4.09
12 Şubat 2021,7.40,5.85,6.87,6.84,5.13,4.66,3.99,4.09
20 Şubat 2021,7.40,6.01,6.87,6.84,5.25,4.76,4.08,4.09
27 Şubat 2021,7.41,6.01,6.87,6.84,5.60,5.10,4.34,4.09
27 Mart 2021,7.27,6.27,6.65,6.63,5.66,5.12,4.45,4.19
08 Nisan 2021,7.27,6.50,6.65,6.63,5.87,5.30,4.61,4.09
26 Mayıs 2021,7.84,7.14,7.44,7.41,6.20,5.43,4.82,4.44
05 Haziran 2021,7.93,7.42,7.44,7.41,6.57,5.80,5.13,4.44
24 Haziran 2021,7.95,7.68,7.46,7.43,6.82,6.03,5.36,4.44
13 Temmuz 2021,7.95,7.68,7.46,7.43,7.00,6.24,5.44,4.92
03 Ağustos 2021,7.95,7.62,7.51,7.48,6.80,6.06,5.33,4.92
11 Ağustos 2021,7.95,7.38,7.48,7.45,6.56,5.83,5.17,5.09
22 Eylül 2021,7.97,7.89,7.50,7.47,7.10,6.32,5.53,5.09
28 Eylül 2021,7.97,7.89,7.50,7.47,7.50,6.70,5.89,5.24
02 Ekim 2021,7.97,8.47,7.50,7.47,7.50,6.70,5.89,5.95
26 Ekim 2021,8.58,9.47,8.39,8.36,8.38,7.37,6.54,6.17
