,date,extreme,tempdiff,mindiff,maxdiff,raind,hum,tempdiff_man,mindiff_man,maxdiff_man,raind_man,tempdiff_bur,mindiff_bur,maxdiff_bur,raind_bur,tempdiff_izm,mindiff_izm,maxdiff_izm,raind_izm,price,gasprice,labor,usd
0,2010-05-31,0,0.058524335031126355,0.06057119375385238,0.04435483870967759,-55.68,65.43548387096774,0.04995974235104674,0.013821684587813632,0.022311827956989293,1.339999999999998,0.07240316639933454,0.09373655913978496,0.01421205711263885,17.38,0.024540080517759678,-0.07994822779769015,0.04433353621424214,9.899999999999999,,-0.04133474149276872,14.162327380952458,0.03103797014434373
1,2010-06-30,0,-0.011921941531703147,0.0033167495854062898,-0.041360759493670955,4.37,62.447988904299585,-0.023337129041484724,-0.01577661431064566,-0.05444444444444449,22.8,0.0033081366764994968,0.11611111111111114,-0.07058823529411762,75.31,-0.03903579059829058,-0.07529505582137168,-0.03861554845580402,46.59,-1.0185695809945732,0.004392136171295968,24.516930555555632,0.022861088356051162
2,2010-07-31,0,0.001565464895635602,0.030397022332506345,-0.02927257602366192,-0.97,65.63037634408602,-0.011369275885405011,-0.023002034292356758,-0.024216138068130545,-0.43999999999999995,0.015627275842865038,0.14149719495091176,-0.05533182658722008,17.060000000000002,0.02267040754943981,-0.0187508579272478,0.033785073487306916,2.8999999999999995,0.2682639865946793,-0.00016584107611627985,-22.690827380952335,-0.02188769716643918
3,2010-08-31,0,0.07677233963663319,0.10054443990744537,0.055347074590997275,0.45000000000000007,59.75672043010753,0.06551829843425769,0.057037465644438075,0.05831752055660964,1.1500000000000004,0.09941329578426363,0.2009315163015353,0.03723415080899572,-1.23,0.07636295038671947,0.0399074452157343,0.10168010752688166,3.0300000000000002,0.462623521948113,0.008408904787678306,-14.162327380952359,-0.022820386804689285
4,2010-09-30,0,0.0579020182291666,0.08195688225538966,0.03077812828601468,-84.51,58.41388888888889,0.020814580403188114,0.016361904761904862,1.0718113611903151e-05,-19.560000000000002,0.06656650641025633,0.16081081081081072,-0.016147342995169123,-2.8900000000000006,0.035863177226813724,-0.032649572649572654,0.05276836158192096,-28.39,0.28768207245178085,0.00532218586530897,-5.633827380952324,-0.00849015238725942
5,2010-10-31,0,-0.004441754764201244,0.06076283221748837,-0.06809641970932294,2.8400000000000034,56.99604743083004,-0.060985323401430806,-0.034548140852006935,-0.10345993756503644,73.53,-0.0036036721444512813,0.15893070489844668,-0.13302818947980238,190.58999999999997,-0.060875379101185574,-0.09227063259321318,-0.06447678992918975,78.85000000000001,0.09278173345096624,0.030027763319876666,3.1168908730159393,-0.04849247142041985
6,2010-11-30,0,0.20034253040968786,0.29959501557632406,0.128364197530864,-43.53,59.878954607977995,0.33935224089635846,0.3955844155844156,0.2704356060606059,-42.099999999999994,0.4439421079958463,0.8851111111111111,0.25062248995983916,-37.92,0.17388792438271614,0.16051987767584094,0.1781028368794326,-65.68,,0.02299966660664654,12.089827380952467,0.007777850389616592
7,2010-12-31,0,0.21552200915726016,0.4253333333333333,0.08497199150086938,-375.02,70.08397932816537,0.3456334942316251,0.3937542896362388,0.24669354838709667,-12.14,0.4842434715821811,1.055425219941349,0.24437587657784013,19.629999999999995,0.14691500256016388,0.06041055718475081,0.13375576036866363,-4.900000000000006,,0.046185789314388215,21.062763888888867,0.056852149859821455
8,2011-01-31,0,0.11799777167857815,0.30557681793329666,0.012021505376344048,-239.72,62.28761651131824,0.07280039255845712,-0.03655913978494629,0.05884835694905029,-62.11,0.194110911987256,1.0614800759013283,-0.018531928900592496,-38.45,-0.11479390681003585,-0.32559139784946245,0.011785623571247334,-76.52999999999999,-0.0721624462482306,0.047016410822341204,-19.236660714285684,0.02651108057100776
9,2011-02-28,0,0.08161258603736476,0.2322527472527473,0.023517520215633532,-294.65,63.2787610619469,-0.01443640747438223,-0.2654181184668989,0.035215946843853776,-154.51999999999998,-0.02710622710622701,0.13660714285714287,-0.09248120300751887,-95.94000000000001,-0.03950517075517092,-0.2580627705627706,0.04928571428571425,-189.25,-0.1701510211736994,0.012170535620255274,-12.089827380952368,0.01851156639457152
10,2011-03-31,0,0.03527413380267276,0.10108822386319458,0.002875175315568111,16.169999999999987,63.65013404825737,-0.0793572825024438,-0.1920676890534108,-0.06582181259600622,-12.169999999999998,-0.043735065710872253,0.11754523996852884,-0.1189792311091471,-28.209999999999997,-0.1004227367325703,-0.24066016504126028,-0.059208552138034574,-9.21,0.1903537284912189,0.03128837327206768,-4.942994047619107,-0.0051725376994477545
11,2011-04-30,1,-0.006046257359125216,0.08917404129793514,-0.05943425076452611,84.86000000000001,67.96137931034482,-0.1325169720417549,-0.14607638888888885,-0.14614439324116743,18.869999999999997,-0.14951068376068383,-0.015045045045045068,-0.24989583333333334,2.5500000000000043,-0.12155092592592594,-0.2282768361581921,-0.10118935837245686,51.440000000000005,0.2363887780642303,0.017980603451400734,3.2710575396826362,-0.03824557463495476
12,2011-05-31,0,-0.033520560294015574,-0.005588658311074479,-0.04945014662756596,75.21000000000001,64.78524374176548,-0.07604059267905196,-0.09045698924731184,-0.0873539036933146,31.599999999999998,-0.0754054535733382,-0.00034946236559137606,-0.13765203595980965,23.6,-0.07702249910818935,-0.14661489446435683,-0.05841752891052948,52.190000000000005,-0.38721166779881394,0.012826786473418395,12.552327380952331,0.03154253809316221
